﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases,Avg. People fully vaccinated
Subtropics,China,China,,"1,002.30","661,586,472.43"
Temperate,China,China,,980.24,"661,586,472.43"
Temperate,China,China,,"9,882.45","661,586,472.43"
Temperate,China,China,,474.57,"661,586,472.43"
Temperate,China,China,,549.71,"661,586,472.43"
Temperate,China,China,,474.51,"661,586,472.43"
Temperate,China,China,,"1,650.22","661,586,472.43"
Temperate,China,China,,"1,093.22","661,586,472.43"
Subtropics,Chile,Chile,,"1,360,013.88","11,440,346.54"
Tropical,Chad,Chad,,"4,680.90","646,135.60"
Tropical,Central African Republic,Central African Republic,,"8,209.79","644,086.71"
Tropical,Canada,Canada,,13,"18,302,719.63"
Tropical,Canada,Canada,,0,"18,302,719.63"
Temperate,Canada,Canada,,"50,482.53","18,302,719.63"
Temperate,Canada,Canada,,13,"18,302,719.63"
Temperate,Canada,Canada,,"366,382.36","18,302,719.63"
Temperate,Canada,Canada,,231.83,"18,302,719.63"
Temperate,Canada,Canada,,"493,417.53","18,302,719.63"
Temperate,Canada,Canada,,"5,116.81","18,302,719.63"
Temperate,Canada,Canada,,"1,374.59","18,302,719.63"
Temperate,Canada,Canada,,"3,463.15","18,302,719.63"
Temperate,Canada,Canada,,"50,142.06","18,302,719.63"
Temperate,Canada,Canada,,"145,595.21","18,302,719.63"
Temperate,Canada,Canada,,"228,239.80","18,302,719.63"
Polar,Canada,Canada,,511.99,"18,302,719.63"
Polar,Canada,Canada,,556.39,"18,302,719.63"
Polar,Canada,Canada,,599.71,"18,302,719.63"
Tropical,Cameroon,Cameroon,,"73,592.29","454,337.00"
Tropical,Cambodia,Cambodia,,"57,020.54","8,656,454.61"
Tropical,Cabo Verde,Cabo Verde,,"28,661.05",
Tropical,Burundi,Burundi,,"9,264.47","6,822.90"
Tropical,Burma,Burma,,"283,386.32","9,688,318.93"
Tropical,Burkina Faso,Burkina Faso,,"13,391.45","912,321.07"
Temperate,Bulgaria,Bulgaria,,"435,375.57","1,166,860.76"
Tropical,Brunei,Brunei,,"3,967.90","239,232.94"
Tropical,Brazil,Brazil,,"17,009,337.57","84,874,331.73"
Tropical,Botswana,Botswana,,"100,965.42","595,515.30"
Temperate,Bosnia and Herzegovina,Bosnia and Herzegovina,,"201,688.28","471,846.92"
Tropical,Bolivia,Bolivia,,"396,393.13","2,993,717.40"
Subtropics,Bhutan,Bhutan,,"1,847.02","409,228.57"
Tropical,Benin,Benin,,"12,662.47","1,689,563.88"
Tropical,Belize,Belize,,"17,155.26","120,412.88"
Temperate,Belgium,Belgium,,"1,131,790.49","5,812,656.08"
Temperate,Belarus,Belarus,,"434,687.92","2,186,750.11"
Tropical,Barbados,Barbados,,"8,015.63","97,549.77"
Subtropics,Bangladesh,Bangladesh,,"1,061,599.70","15,097,140.57"
Subtropics,Bahrain,Bahrain,,"218,265.02","867,023.15"
Subtropics,Bahamas,Bahamas,,"14,656.84","94,637.78"
Temperate,Azerbaijan,Azerbaijan,,"376,509.18","2,884,827.50"
Temperate,Austria,Austria,,"681,564.55","4,105,021.93"
Tropical,Australia,Australia,,184.59,"11,424,615.25"
Subtropics,Australia,Australia,,"1,023.73","11,424,615.25"
Subtropics,Australia,Australia,,"42,764.25","11,424,615.25"
Subtropics,Australia,Australia,,920.79,"11,424,615.25"
Subtropics,Australia,Australia,,"1,880.72","11,424,615.25"
Subtropics,Australia,Australia,,"30,235.11","11,424,615.25"
Subtropics,Australia,Australia,,648.78,"11,424,615.25"
Temperate,Australia,Australia,,242.37,"11,424,615.25"
Temperate,Armenia,Armenia,,"236,278.13","465,338.39"
Subtropics,Argentina,Argentina,,"3,945,783.73","18,208,169.32"
Tropical,Antigua and Barbuda,Antigua and Barbuda,,"1,888.87","39,848.09"
Tropical,Angola,Angola,,"40,540.12","2,668,315.84"
Temperate,Andorra,Andorra,,"13,929.67","34,487.50"
Subtropics,Algeria,Algeria,,"156,638.32","3,729,055.80"
Temperate,Albania,Albania,,"140,016.82","669,467.32"
Subtropics,Afghanistan,Afghanistan,,"108,269.53","2,080,597.21"
Tropical,,Tonga,,0.18,
Tropical,,MS Zaandam,,9,
Tropical,,Eritrea,,"5,096.23",
Tropical,,Diamond Princess,,712,
Subtropics,,Winter Olympics 2022,,0,
Subtropics,,Summer Olympics 2020,,340.12,
Temperate,,"Korea, North",,0,
Temperate,,Holy See,,27,
Polar,,Antarctica,,0.54,
