﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Temperate,Lithuania,Lithuania,,"905,558.55"
Temperate,Liechtenstein,Liechtenstein,,"13,628.59"
Subtropics,Libya,Libya,,"476,731.86"
Tropical,Liberia,Liberia,,"7,327.22"
Subtropics,Lesotho,Lesotho,,"32,614.07"
Subtropics,Lebanon,Lebanon,,"1,027,230.96"
Temperate,Latvia,Latvia,,"658,885.25"
Tropical,Laos,Laos,,"167,734.77"
Temperate,Kyrgyzstan,Kyrgyzstan,,"198,761.04"
Subtropics,Kuwait,Kuwait,,"593,628.23"
Temperate,Kosovo,Kosovo,,"216,251.10"
Subtropics,"Korea, South","Korea, South",,"9,546,988.07"
Tropical,Kiribati,Kiribati,,"2,355.64"
Tropical,Kenya,Kenya,,"321,813.50"
Temperate,Kazakhstan,Kazakhstan,,"1,347,176.43"
Subtropics,Jordan,Jordan,,"1,540,767.15"
Subtropics,Japan,Japan,,"5,738,685.58"
Tropical,Jamaica,Jamaica,,"126,434.75"
Temperate,Italy,Italy,,"13,675,515.76"
Subtropics,Israel,Israel,,"3,488,776.04"
Temperate,Ireland,Ireland,,"1,355,852.33"
Subtropics,Iraq,Iraq,,"2,276,564.89"
Subtropics,Iran,Iran,,"6,938,100.99"
Tropical,Indonesia,Indonesia,,"5,479,388.55"
Tropical,India,India,,"41,947,820.19"
Polar,Iceland,Iceland,,"138,940.29"
Temperate,Hungary,Hungary,,"1,746,267.74"
Tropical,Honduras,Honduras,,"410,635.25"
Tropical,Haiti,Haiti,,"29,913.38"
Tropical,Guyana,Guyana,,"60,876.27"
Tropical,Guinea-Bissau,Guinea-Bissau,,"7,898.70"
Tropical,Guinea,Guinea,,"36,205.50"
Tropical,Guatemala,Guatemala,,"784,522.25"
Tropical,Grenada,Grenada,,"13,738.88"
Subtropics,Greece,Greece,,"2,689,512.37"
Tropical,Ghana,Ghana,,"158,917.95"
Temperate,Germany,Germany,,"18,132,091.50"
Temperate,Georgia,Georgia,,"1,491,945.91"
Tropical,Gambia,Gambia,,"11,816.89"
Tropical,Gabon,Gabon,,"47,045.38"
Tropical,France,France,Wallis and Futuna,454
Tropical,France,France,St Martin,"9,594.94"
Tropical,France,France,Saint Barthelemy,"3,889.74"
Tropical,France,France,Reunion,"299,751.71"
Tropical,France,France,New Caledonia,"47,910.86"
Tropical,France,France,Mayotte,"35,937.96"
Tropical,France,France,Martinique,"124,263.66"
Tropical,France,France,Guadeloupe,"124,155.43"
Tropical,France,France,French Polynesia,"64,607.34"
Tropical,France,France,French Guiana,"76,556.31"
Temperate,France,France,Saint Pierre and Miquelon,"1,720.02"
Temperate,France,France,,"23,077,749.57"
Polar,Finland,Finland,,"774,794.99"
Tropical,Fiji,Fiji,,"63,314.68"
Tropical,Ethiopia,Ethiopia,,"466,629.49"
Subtropics,Eswatini,Eswatini,,"69,763.70"
Temperate,Estonia,Estonia,,"481,839.79"
Tropical,Equatorial Guinea,Equatorial Guinea,,"15,744.62"
Tropical,El Salvador,El Salvador,,"150,892.53"
Subtropics,Egypt,Egypt,,"479,289.84"
Tropical,Ecuador,Ecuador,,"806,277.03"
Tropical,Dominican Republic,Dominican Republic,,"561,406.32"
Tropical,Dominica,Dominica,,"11,206.12"
Tropical,Djibouti,Djibouti,,"15,429.97"
Temperate,Denmark,Denmark,,"2,581,705.47"
Polar,Denmark,Denmark,Greenland,"10,946.47"
Polar,Denmark,Denmark,Faroe Islands,"29,097.55"
Temperate,Czechia,Czechia,,"3,534,698.66"
Subtropics,Cyprus,Cyprus,,"374,348.21"
Tropical,Cuba,Cuba,,"1,070,937.24"
Temperate,Croatia,Croatia,,"1,037,742.91"
Tropical,Cote d'Ivoire,Cote d'Ivoire,,"81,039.58"
Tropical,Costa Rica,Costa Rica,,"792,870.19"
Tropical,Congo (Kinshasa),Congo (Kinshasa),,"85,915.75"
Tropical,Congo (Brazzaville),Congo (Brazzaville),,"23,759.91"
Tropical,Comoros,Comoros,,"7,981.98"
Tropical,Colombia,Colombia,,"5,968,575.89"
Tropical,China,China,Macau,81.05
Tropical,China,China,Hong Kong,"715,551.47"
Tropical,China,China,Hainan,229.6
Tropical,China,China,Guangdong,"5,679.86"
Subtropics,China,China,Zhejiang,"2,611.34"
Subtropics,China,China,Yunnan,"2,009.87"
Subtropics,China,China,Tibet,1
Subtropics,China,China,Tianjin,"1,449.07"
Subtropics,China,China,Sichuan,"1,740.40"
Subtropics,China,China,Shanxi,332.19
Subtropics,China,China,Shanghai,"23,164.20"
Subtropics,China,China,Shandong,"1,975.16"
Subtropics,China,China,Shaanxi,"3,052.27"
Subtropics,China,China,Qinghai,62.98
Subtropics,China,China,Ningxia,122
Subtropics,China,China,Jiangxi,"1,104.79"
Subtropics,China,China,Jiangsu,"1,937.79"
Subtropics,China,China,Hunan,"1,300.11"
Subtropics,China,China,Hubei,"68,367.65"
Subtropics,China,China,Henan,"2,757.59"
Subtropics,China,China,Hebei,"1,748.36"
Subtropics,China,China,Guizhou,171.1
Subtropics,China,China,Guangxi,"1,248.93"
Subtropics,China,China,Gansu,538.31
Subtropics,China,China,Fujian,"2,290.94"
Subtropics,China,China,Chongqing,660.8
Subtropics,China,China,Anhui,"1,034.58"
Temperate,China,China,Xinjiang,997.34
Temperate,China,China,Unknown,"242,511.60"
Temperate,China,China,Liaoning,"1,280.82"
Temperate,China,China,Jilin,"19,719.73"
Temperate,China,China,Inner Mongolia,"1,543.01"
Temperate,China,China,Heilongjiang,"2,431.35"
Temperate,China,China,Beijing,"1,909.84"
Subtropics,Chile,Chile,,"3,054,138.20"
Tropical,Chad,Chad,,"7,199.89"
Tropical,Central African Republic,Central African Republic,,"14,231.02"
Tropical,Canada,Canada,Grand Princess,13
Tropical,Canada,Canada,Diamond Princess,0
Temperate,Canada,Canada,Saskatchewan,"125,977.13"
Temperate,Canada,Canada,Repatriated Travellers,13
Temperate,Canada,Canada,Quebec,"944,430.55"
Temperate,Canada,Canada,Prince Edward Island,"21,677.46"
Temperate,Canada,Canada,Ontario,"1,153,304.02"
Temperate,Canada,Canada,Nova Scotia,"59,435.43"
Temperate,Canada,Canada,Newfoundland and Labrador,"31,204.96"
Temperate,Canada,Canada,New Brunswick,"45,159.45"
Temperate,Canada,Canada,Manitoba,"130,163.57"
Temperate,Canada,Canada,British Columbia,"344,380.61"
Temperate,Canada,Canada,Alberta,"525,847.36"
Polar,Canada,Canada,Yukon,"3,616.07"
Polar,Canada,Canada,Nunavut,"2,804.15"
Polar,Canada,Canada,Northwest Territories,"9,190.79"
Tropical,Cameroon,Cameroon,,"117,824.86"
Tropical,Cambodia,Cambodia,,"130,808.81"
Tropical,Cabo Verde,Cabo Verde,,"55,264.81"
Tropical,Burundi,Burundi,,"38,566.70"
Tropical,Burma,Burma,,"586,027.68"
Tropical,Burkina Faso,Burkina Faso,,"20,624.52"
Temperate,Bulgaria,Bulgaria,,"1,067,397.63"
Tropical,Brunei,Brunei,,"93,025.71"
Tropical,Brazil,Brazil,,"28,446,414.45"
Tropical,Botswana,Botswana,,"277,453.18"
Temperate,Bosnia and Herzegovina,Bosnia and Herzegovina,,"362,427.29"
Tropical,Bolivia,Bolivia,,"868,506.84"
Subtropics,Bhutan,Bhutan,,"29,961.88"
Tropical,Benin,Benin,,"26,649.64"
Tropical,Belize,Belize,,"54,255.09"
Temperate,Belgium,Belgium,,"3,582,359.26"
Temperate,Belarus,Belarus,,"897,199.15"
Tropical,Barbados,Barbados,,"58,624.79"
Subtropics,Bangladesh,Bangladesh,,"1,885,022.16"
Subtropics,Bahrain,Bahrain,,"497,537.58"
Subtropics,Bahamas,Bahamas,,"32,833.17"
Temperate,Azerbaijan,Azerbaijan,,"751,771.88"
Temperate,Austria,Austria,,"3,150,845.53"
Tropical,Australia,Australia,Northern Territory,"43,959.20"
Subtropics,Australia,Australia,Western Australia,"229,007.85"
Subtropics,Australia,Australia,Victoria,"1,229,788.58"
Subtropics,Australia,Australia,South Australia,"261,102.61"
Subtropics,Australia,Australia,Queensland,"710,559.14"
Subtropics,Australia,Australia,New South Wales,"1,678,143.06"
Subtropics,Australia,Australia,Australian Capital Territory,"72,804.83"
Temperate,Australia,Australia,Tasmania,"84,091.32"
Temperate,Armenia,Armenia,,"405,417.24"
Subtropics,Argentina,Argentina,,"8,633,763.06"
Tropical,Antigua and Barbuda,Antigua and Barbuda,,"7,171.79"
Tropical,Angola,Angola,,"97,842.70"
Temperate,Andorra,Andorra,,"38,170.11"
Subtropics,Algeria,Algeria,,"258,130.70"
Temperate,Albania,Albania,,"265,263.37"
Subtropics,Afghanistan,Afghanistan,,"173,180.07"
Tropical,,Tonga,,"5,058.32"
Tropical,,MS Zaandam,,9
Tropical,,Eritrea,,"9,552.16"
Tropical,,Diamond Princess,,712
Subtropics,,Winter Olympics 2022,,428.21
Subtropics,,Summer Olympics 2020,,865
Temperate,,"Korea, North",,0.17
Temperate,,Holy See,,28.79
Polar,,Antarctica,,11
